IP,Port,Result,Classification,Timestamp,Details
192.168.100.39,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.302481,N/A
192.168.100.39,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.314039,N/A
192.168.100.30,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.301259,N/A
192.168.100.30,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.314178,N/A
192.168.100.6,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.302014,N/A
192.168.100.6,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.314216,N/A
192.168.100.25,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.301886,N/A
192.168.100.25,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.314356,N/A
192.168.100.17,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.302393,N/A
192.168.100.17,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.314384,N/A
192.168.100.2,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.301782,N/A
192.168.100.2,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.314552,N/A
192.168.100.20,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.301072,N/A
192.168.100.20,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.314582,N/A
192.168.100.33,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.301457,N/A
192.168.100.33,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.314665,N/A
192.168.100.3,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.300727,N/A
192.168.100.3,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.314700,N/A
192.168.100.53,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.301665,N/A
192.168.100.53,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.314792,N/A
192.168.100.19,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.301044,N/A
192.168.100.19,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.314903,N/A
192.168.100.38,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.301348,N/A
192.168.100.38,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.314988,N/A
192.168.100.9,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.300893,N/A
192.168.100.9,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.315020,N/A
192.168.100.23,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.301117,N/A
192.168.100.23,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.315117,N/A
192.168.100.15,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.302628,N/A
192.168.100.15,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.315269,N/A
192.168.100.34,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.301389,N/A
192.168.100.34,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.315293,N/A
192.168.100.13,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.300673,N/A
192.168.100.13,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.315360,N/A
192.168.100.46,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.301484,N/A
192.168.100.46,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.315458,N/A
192.168.100.1,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.300631,N/A
192.168.100.1,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.313983,N/A
192.168.100.18,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.301013,N/A
192.168.100.18,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.313939,N/A
192.168.100.44,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.301534,N/A
192.168.100.44,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.314082,N/A
192.168.100.51,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.302589,N/A
192.168.100.51,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.314110,N/A
192.168.100.29,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.301285,N/A
192.168.100.29,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.314322,N/A
192.168.100.12,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.302315,N/A
192.168.100.12,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.315896,N/A
192.168.100.48,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.300859,N/A
192.168.100.48,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.314524,N/A
192.168.100.32,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.300769,N/A
192.168.100.32,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.315865,N/A
192.168.100.26,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.301912,N/A
192.168.100.26,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.314485,N/A
192.168.100.21,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.301170,N/A
192.168.100.21,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.316131,N/A
192.168.100.27,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.301229,N/A
192.168.100.27,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.314929,N/A
192.168.100.37,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.302108,N/A
192.168.100.37,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.314824,N/A
192.168.100.31,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.301196,N/A
192.168.100.31,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.316336,N/A
192.168.100.43,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.301433,N/A
192.168.100.43,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.315200,N/A
192.168.100.36,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.302081,N/A
192.168.100.36,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.316366,N/A
192.168.100.50,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.302858,N/A
192.168.100.50,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.315224,N/A
192.168.100.41,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.300787,N/A
192.168.100.41,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.316468,N/A
192.168.100.24,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.302765,N/A
192.168.100.24,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.316526,N/A
192.168.100.5,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.300832,N/A
192.168.100.5,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.315554,N/A
192.168.100.47,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.301509,N/A
192.168.100.47,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.315594,N/A
192.168.100.28,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.301323,N/A
192.168.100.28,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.315623,N/A
192.168.100.16,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.301856,N/A
192.168.100.16,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.315653,N/A
192.168.100.11,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.300933,N/A
192.168.100.11,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.316045,N/A
192.168.100.40,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.302197,N/A
192.168.100.40,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.316161,N/A
192.168.100.54,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.301693,N/A
192.168.100.54,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.316848,N/A
192.168.100.45,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.302988,N/A
192.168.100.45,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.316307,N/A
192.168.100.10,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.300983,N/A
192.168.100.10,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.315146,N/A
192.168.100.52,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.301618,N/A
192.168.100.52,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.315397,N/A
192.168.100.35,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.300809,N/A
192.168.100.35,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.315484,N/A
192.168.100.42,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.303030,N/A
192.168.100.42,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.316571,N/A
192.168.100.4,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.302134,N/A
192.168.100.4,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.315791,N/A
192.168.100.7,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.301560,N/A
192.168.100.7,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.315978,N/A
192.168.100.14,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.301752,N/A
192.168.100.14,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.316772,N/A
192.168.100.8,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.301636,N/A
192.168.100.8,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.316799,N/A
192.168.100.22,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.301940,N/A
192.168.100.22,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.316219,N/A
192.168.100.49,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.301586,N/A
192.168.100.49,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.316984,N/A
192.168.100.118,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.317248,N/A
192.168.100.118,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.329475,N/A
192.168.100.82,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.316544,N/A
192.168.100.82,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.329873,N/A
192.168.100.69,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.319603,N/A
192.168.100.69,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.329855,N/A
192.168.100.135,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.319317,N/A
192.168.100.135,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.330051,N/A
192.168.100.74,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.316434,N/A
192.168.100.74,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.330260,N/A
192.168.100.93,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.317893,N/A
192.168.100.93,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.330374,N/A
192.168.100.98,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.316875,N/A
192.168.100.98,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.330607,N/A
192.168.100.103,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.317013,N/A
192.168.100.103,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.330642,N/A
192.168.100.111,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.318946,N/A
192.168.100.111,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.330806,N/A
192.168.100.63,1883,closed_or_unreachable,Unknown,2025-11-02T04:17:18.317863,N/A
192.168.100.63,8883,closed_or_unreachable,Unknown,2025-11-02T04:17:20.329618,N/A
